12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
BAYONNE DR 	3500 - 3599 	LA CIMA DR - LA MANCHA DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BAYONNE DR 	3600 - 3699 	LA MANCHA DR - MOORLAND DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BEAN ST 	3220 - 3299 	CALIFORNIA ST - END 	Not Posted, Both Sides Fri
BELLOC CT 	2100 - 2199 	EDGEWORTH RD - END 	Not Posted, Both Sides Odd Month 3rd Wed
BENICIA ST 	1150 - 1199 	GAINES ST - RILEY ST 	Not Posted, Both Sides Odd Month 1st Tue
BENICIA ST 	1200 - 1249 	RILEY ST - LAURETTA ST 	Not Posted, Both Sides Odd Month 1st Tue
BENICIA ST 	1250 - 1299 	LAURETTA ST - MILDRED ST 	Not Posted, Both Sides Odd Month 1st Tue
BERMUDA AV 	4400 - 4499 	BERMUDA CR - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
BERMUDA AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
BERMUDA AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
BERMUDA AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
BERMUDA AV 	4800 - 4839 	SUNSET CLIFFS BL - OCEAN FRONT ST 	Not Posted, Both Sides 1st Wed
BERMUDA AV 	4840 - 4847 	OCEAN FRONT ST - PESCADERO DR 	Not Posted, Both Sides 1st Wed
BERMUDA AV 	4848 - 4851 	PESCADERO DR - END 	Not Posted, Both Sides 1st Wed
BERMUDA CR 	4300 - 4349 	SAVOY CR - ALEXANDRIA DR 	Not Posted, Both Sides Even Month 4th Wed
BERMUDA CR 	4350 - 4399 	ALEXANDRIA DR - BERMUDA AV 	Not Posted, Both Sides Even Month 4th Wed
BERNICE DR 	3800 - 3999 	NIMITZ BL - LA CRESTA DR 	Not Posted, Both Sides Even Month 4th Wed
BERNICE DR 	4000 - 4019 	LA CRESTA DR - WELLS ST 	Not Posted, Both Sides Even Month 4th Wed
BERNICE DR 	4020 - 4099 	WELLS ST - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
BERVY ST 	1500 - 1699 	NASHVILLE ST - LITTLEFIELD ST 	Not Posted, Both Sides Odd Month 1st Tue
BERVY ST 	1700 - 1799 	LITTLEFIELD ST - GARDENA AV 	Not Posted, Both Sides Odd Month 1st Tue
BERYL ST 	1000 - 1099 	CASS ST - DAWES ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	1100 - 1199 	DAWES ST - EVERTS ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	1200 - 1299 	EVERTS ST - FANUEL ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	1300 - 1399 	FANUEL ST - GRESHAM ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	1400 - 1499 	GRESHAM ST - HAINES ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	1500 - 1599 	HAINES ST - FOOTHILL BL 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	1600 - 1699 	FOOTHILL BL - JEWELL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	1700 - 1799 	JEWELL ST - KENDALL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	1800 - 1849 	KENDALL ST - EMELENE ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	1850 - 1899 	EMELENE ST - LAMONT ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	1900 - 2149 	LAMONT ST - ACADEMY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	2150 - 2199 	ACADEMY ST - NOYES ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	2200 - 2249 	NOYES ST - DONALDSON DR 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	2250 - 2299 	DONALDSON DR - SOLEDAD MTN RD 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
BERYL ST 	2350 - 2399 	BEGIN - QUINCY ST 	Not Posted, Both Sides Odd Month 3rd Wed
BERYL ST 	2400 - 2449 	QUINCY ST - BERYL WY 	Not Posted, Both Sides Odd Month 3rd Wed
BERYL ST 	2450 - 2499 	BERYL WY - RANDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
BERYL ST 	2500 - 2599 	RANDALL ST - SAN JOAQUIN DR 	Not Posted, Both Sides Odd Month 3rd Wed
BERYL ST 	700 - 799 	DIXIE DR - MISSION BL 	Not Posted, Both Sides Odd Month 3rd Wed
BERYL ST 	800 - 899 	MISSION BL - BAYARD ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL ST 	900 - 999 	BAYARD ST - CASS ST 	Posted (10am - 1pm), SS 1st Wed, NS 1st Thur
BERYL WY 	4800 - 4899 	SOLEDAD MTN RD - BERYL ST 	Not Posted, Both Sides Odd Month 3rd Wed
BESSEMER ST 	2800 - 2949 	BEGIN - SAN ANTONIO PL 	Not Posted, Both Sides Even Month 4th Wed
BESSEMER ST 	2950 - 2999 	SAN ANTONIO PL - ROSECRANS ST 	Not Posted, Both Sides Even Month 4th Wed
BESSEMER ST 	3000 - 3099 	ROSECRANS ST - ARMADA TR 	Not Posted, Both Sides Even Month 4th Wed
BESSEMER ST 	3100 - 3149 	BEGIN - HARBOR VIEW DR 	Not Posted, Both Sides Even Month 4th Wed
BETSY CT 	2500 - 2529 	SOMAM AV - END 	Not Posted, Both Sides Odd Month 3rd Tue
BIANCA AV 	5000 - 5099 	DORCAS ST - BUENOS AV 	Not Posted, Both Sides Odd Month 1st Tue
BLACKFOOT AV 	4200 - 4299 	BEGIN - FONTANA AV 	Not Posted, Both Sides Even Month 4th Thu
BLACKFOOT AV 	4300 - 4351 	FONTANA AV - MOHICAN AV 	Not Posted, Both Sides Even Month 4th Thu
BLACKFOOT AV 	4600 - 4659 	GERONIMO AV - CHEYENNE AV 	Not Posted, Both Sides Even Month 4th Thu
BLACKFOOT AV 	4660 - 4699 	CHEYENNE AV - APACHE AV 	Not Posted, Both Sides Even Month 4th Thu
BLACKFOOT AV 	4700 - 4729 	APACHE AV - CLAIREMONT DR 	Not Posted, Both Sides Even Month 4th Thu
BLACKMORE CT 	2100 - 2199 	EDGEWORTH RD - END 	Not Posted, Both Sides Odd Month 3rd Wed
BLUFFSIDE AV 	2600 - 2799 	PACIFICA DR - MISSION BAY DR 	Not Posted, Both Sides Odd Month 3rd Wed
BLUFFSIDE AV 	2650 - 2799 	BELLA PACIFIC RW - MISSION BAY DR 	Not Posted, Both Sides Odd Month 3rd Wed
BOB ST 	3900 - 3908 	WORDEN ST - BARNARD ST 	Not Posted, Both Sides Odd Month 1st Wed
BOB ST 	3909 - 3999 	BARNARD ST - ADRIAN ST 	Not Posted, Both Sides Odd Month 1st Wed
BOLINAS ST 	2200 - 2299 	VOLTAIRE ST - GREENE ST 	Not Posted, Both Sides 1st Wed
BONANZA AV 	4100 - 4199 	BEGIN - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
BOND ST 	4400 - 4449 	GRAND AV - HORNBLEND ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BOND ST 	4450 - 4499 	HORNBLEND ST - MAGNOLIA AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BOND ST 	4500 - 4539 	MAGNOLIA AV - FIGUEROA BL 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BOND ST 	4540 - 4599 	FIGUEROA BL - GARNET AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BONUS DR 	1800 - 1849 	GARDENA AV - SPARKS AV 	Not Posted, Both Sides Odd Month 1st Tue
BONUS DR 	1850 - 1893 	SPARKS AV - GALENA AV 	Not Posted, Both Sides Odd Month 1st Tue
BONUS DR 	1894 - 1939 	GALENA AV - SKY ST 	Not Posted, Both Sides Odd Month 1st Tue
BONUS DR 	1940 - 1999 	SKY ST - END 	Not Posted, Both Sides Odd Month 1st Tue
BOONE ST 	3700 - 3799 	BEGIN - CHIPPEWA CT 	Not Posted, Both Sides Even Month 4th Thu
BOONE ST 	3800 - 3829 	CHIPPEWA CT - CARSON ST 	Not Posted, Both Sides Even Month 4th Thu
BOONE ST 	3830 - 3899 	CARSON ST - CODY ST 	Not Posted, Both Sides Even Month 4th Thu
BOONE ST 	3900 - 3999 	CODY ST - FORNEY AV 	Not Posted, Both Sides Even Month 4th Thu
BOONE ST 	4000 - 4099 	FORNEY AV - ZED ST 	Not Posted, Both Sides Even Month 4th Thu
BORRESON ST 	3400 - 3499 	BAKER ST - TICONDEROGA ST 	Not Posted, Both Sides Even Month 4th Thu
BRAEMAR LN 	900 - 999 	BAYARD ST - END 	Posted (10am - 1pm), Both Sides 1st Thur
BRANDYWINE ST 	0 - 0 	ALLEY - PAUL JONES AV 	Not Posted, Both Sides Even Month 4th Thu
BRANDYWINE ST 	3200 - 3299 	PAUL JONES AV - ETHAN ALLEN AV 	Not Posted, Both Sides Even Month 4th Thu
BRANDYWINE ST 	3300 - 3359 	ETHAN ALLEN AV - MT SANDY DR 	Not Posted, Both Sides Even Month 4th Thu
BRANDYWINE ST 	3360 - 3399 	MT SANDY DR - PRINCETON AV 	Not Posted, Both Sides Even Month 4th Thu
BRANDYWINE ST 	3400 - 3499 	PRINCETON AV - MOULTRIE AV 	Not Posted, Both Sides Even Month 4th Thu
BRANDYWINE ST 	3500 - 3599 	MOULTRIE AV - TRENTON AV 	Not Posted, Both Sides Even Month 4th Thu
BRANDYWINE ST 	3600 - 3799 	TRENTON AV - UTE DR 	Not Posted, Both Sides Even Month 4th Thu
BRIGHTON AV 	4400 - 4499 	VENICE ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
BRIGHTON AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
BRIGHTON AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
BRIGHTON AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
BRIGHTON AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BRIGHTON AV 	4900 - 4999 	CABLE ST - BACON ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BRIGHTON AV 	5000 - 5099 	BACON ST - ABBOTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BRIGHTON AV 	5100 - 5189 	ABBOTT ST - SPRAY ST 	Posted (7am - 10am), NS Wed, SS Fri
BRILLDEN CT 	3100 - 3199 	FRYDEN CT - AVATI DR 	Not Posted, Both Sides Even Month 4th Thu
BRINDISI ST 	4400 - 4499 	CORNISH DR - CORDOVA ST 	Not Posted, Both Sides Even Month 4th Wed
BROWNELL ST 	5140 - 5199 	ELEVATION RD - CUSHMAN AV 	Not Posted, Both Sides Odd Month 1st Tue
BROWNING ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 1st Wed
BROWNING ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 1st Wed
BROWNING ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 1st Wed
BROWNING ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 1st Wed
BROWNING ST 	3400 - 3499 	PLUM ST - CLOVE ST 	Not Posted, Both Sides Even Month 1st Wed
BROWNING ST 	3500 - 3599 	CLOVE ST - CHATSWORTH BL 	Not Posted, Both Sides Even Month 1st Wed
BROWNING ST 	3800 - 3839 	BEGIN - WARRINGTON ST 	Not Posted, Both Sides Odd Month 1st Wed
BROWNING ST 	3840 - 3899 	WARRINGTON ST - WORDEN ST 	Not Posted, Both Sides Odd Month 1st Wed
BRUNNER ST 	1270 - 1283 	BEGIN - MILDRED ST 	Not Posted, Both Sides Odd Month 1st Tue
BRUNNER ST 	1284 - 1399 	MILDRED ST - LINDA VISTA RD 	Not Posted, Both Sides Odd Month 1st Tue
BUENA VISTA ST 	3300 - 3399 	INGRAHAM ST - EDGE CLIFF DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BUENA VISTA ST 	3400 - 3499 	EDGE CLIFF DR - LA CIMA DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BUENA VISTA ST 	3500 - 3599 	LA CIMA DR - LA MANCHA DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BUENA VISTA ST 	3600 - 3699 	LA MANCHA DR - MOORLAND DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
BUENOS AV 	1070 - 1119 	CUDAHY PL - WEST MORENA BL 	Not Posted, Both Sides Wed
BUENOS AV 	1120 - 1123 	WEST MORENA BL - W MORENA (FTG) BL 	Not Posted, Both Sides Wed
BUENOS AV 	1124 - 1129 	WEST MORENA (FTG) BL - NAPLES PL 	Not Posted, Both Sides Wed
BUENOS AV 	1130 - 1199 	NAPLES PL - MORENA BL 	Not Posted, Both Sides Wed
BUENOS AV 	1200 - 1219 	MORENA BL - SAVANNAH PL 	Not Posted, Both Sides Odd Month 1st Tue
BUENOS AV 	1220 - 1249 	SAVANNAH PL - SAVANNAH ST 	Not Posted, Both Sides Odd Month 1st Tue
BUENOS AV 	1250 - 1299 	SAVANNAH ST - BIANCA AV 	Not Posted, Both Sides Odd Month 1st Tue
BUENOS AV 	960 - 1069 	BEGIN - CUDAHY PL 	Not Posted, Both Sides Wed
BUNKER HILL ST 	2900 - 2999 	MISSION BAY DR - REVERE AV 	Not Posted, Both Sides Tue
BUNKER HILL ST 	3000 - 3099 	REVERE AV - DEL REY ST 	Not Posted, Both Sides Tue
BUNKER HILL ST 	3200 - 3299 	PAUL JONES AV - ETHAN ALLEN AV 	Not Posted, Both Sides Even Month 4th Thu
BUNKER HILL ST 	3300 - 3399 	ETHAN ALLEN AV - PRINCETON AV 	Not Posted, Both Sides Even Month 4th Thu
BUNKER HILL ST 	3400 - 3499 	PRINCETON AV - MOULTRIE AV 	Not Posted, Both Sides Even Month 4th Thu
BUNKER HILL ST 	3500 - 3599 	MOULTRIE AV - TRENTON AV 	Not Posted, Both Sides Even Month 4th Thu
BURGENER BL 	2100 - 2139 	SEPTEMBER ST - FEBRUARY ST 	Not Posted, Both Sides Odd Month 3rd Tue
BURGENER BL 	2140 - 2199 	FEBRUARY ST - AUGUST ST 	Not Posted, Both Sides Odd Month 3rd Tue
BURGENER BL 	2200 - 2269 	AUGUST ST - MILTON ST 	Not Posted, Both Sides Odd Month 3rd Tue
BURGENER BL 	2270 - 2299 	MILTON ST - JULY ST 	Not Posted, Both Sides Odd Month 3rd Tue
BURGENER BL 	2300 - 2434 	JULY ST - LISTER ST 	Not Posted, Both Sides Even Month 4th Thu
BURGENER BL 	2435 - 2499 	LISTER ST - LISTER ST 	Not Posted, Both Sides Even Month 4th Thu
BURGENER BL 	2500 - 2599 	LISTER ST - JELLETT ST 	Not Posted, Both Sides Even Month 4th Thu
BURGENER BL 	2600 - 2699 	JELLETT ST - HUXLEY ST 	Not Posted, Both Sides Even Month 4th Thu
BURGENER BL 	2700 - 2899 	HUXLEY ST - FIELD ST 	Not Posted, Both Sides Even Month 4th Thu
BURGENER BL 	2900 - 2999 	FIELD ST - CLAIREMONT DR 	Not Posted, Both Sides Even Month 4th Thu
BYRON ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
BYRON ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
BYRON ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
BYRON ST 	3300 - 3399 	WILLOW ST - END 	Not Posted, Both Sides Even Month 4th Wed
CABLE ST 	1550 - 1599 	ORCHARD AV - DEL MAR AV 	Not Posted, Both Sides 1st Wed
CABLE ST 	1600 - 1649 	DEL MAR AV - CORONADO AV 	Not Posted, Both Sides 1st Wed
CABLE ST 	1650 - 1699 	CORONADO AV - SANTA CRUZ AV 	Not Posted, Both Sides 1st Wed
CABLE ST 	1700 - 1749 	SANTA CRUZ AV - DEL MONTE AV 	Not Posted, Both Sides 1st Wed
CABLE ST 	1750 - 1799 	DEL MONTE AV - NARRAGANSETT AV 	Not Posted, Both Sides 1st Wed
CABLE ST 	1800 - 1849 	NARRAGANSETT AV - NIAGARA AV 	Not Posted, Both Sides 1st Wed
CABLE ST 	1850 - 1899 	NIAGARA AV - NEWPORT AV 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CABLE ST 	1900 - 1949 	NEWPORT AV - SANTA MONICA AV 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	1950 - 1999 	SANTA MONICA AV - SARATOGA AV 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	2000 - 2049 	SARATOGA AV - CAPE MAY AV 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	2050 - 2099 	CAPE MAY AV - BRIGHTON AV 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	2100 - 2129 	BRIGHTON AV - LONG BRANCH AV 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	2130 - 2159 	LONG BRANCH AV - MUIR AV 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	2160 - 2199 	MUIR AV - VOLTAIRE ST 	Posted (7am - 10am), WS Fri, ES Wed
CABLE ST 	2200 - 2251 	VOLTAIRE ST - LOTUS ST 	Posted (7am - 10am), WS Fri, ES Wed
CADDEN CT 	3200 - 3239 	BEGIN - CADDEN WY 	Not Posted, Both Sides Even Month 4th Thu
CADDEN DR 	3300 - 3359 	CADDEN WY - SOUTHVIEW DR 	Not Posted, Both Sides Even Month 4th Thu
CADDEN DR 	3360 - 3369 	SOUTHVIEW DR - MORAGA AV 	Not Posted, Both Sides Even Month 4th Thu
CADDEN WY 	3800 - 3999 	CADDEN DR - CADDEN CT 	Not Posted, Both Sides Even Month 4th Thu
CADDEN WY 	4000 - 4039 	CADDEN CT - PETUNIA CT 	Not Posted, Both Sides Even Month 4th Thu
CADDEN WY 	4040 - 4069 	PETUNIA CT - EICHENLAUB ST 	Not Posted, Both Sides Even Month 4th Thu
CADIZ ST 	2801 - 2999 	ROSECRANS PL - ST CHARLES ST 	Not Posted, Both Sides Mon
CAFLUR AV 	4100 - 4199 	WICOPEE PL - TACOMA ST 	Not Posted, Both Sides Even Month 4th Thu
CALAVERAS DR 	1000 - 1099 	OSPREY ST - BARCELONA DR 	Not Posted, Both Sides Even Month 4th Wed
CALIFORNIA ST 	3550 - 3599 	VINE ST - W WALNUT AV 	Not Posted, Both Sides Fri
CALIFORNIA ST 	3600 - 3649 	W WALNUT AV - CHALMERS ST 	Not Posted, Both Sides Fri
CALIFORNIA ST 	3650 - 3673 	CHALMERS ST - BEAN ST 	Not Posted, Both Sides Fri
CALIFORNIA ST 	3674 - 3699 	BEAN ST - HANCOCK ST 	Not Posted, Both Sides Fri
CALLE NEIL 	4800 - 4849 	CLAIREMONT DR - COWLEY WY 	Not Posted, Both Sides Even Month 4th Thu
CALLE VISTA 	5310 - 5369 	BEGIN - SANDAL LN 	Not Posted, Both Sides Odd Month 3rd Wed
CALYPSO PL 	3000 - 3099 	LELAND ST - END 	Not Posted, Both Sides Odd Month 1st Wed
CAM COPETE 	1100 - 1199 	CAMTO ESTEBAN - CAM COSTANERO 	Not Posted, Both Sides Even Month 4th Thu
CAM COPETE 	1200 - 1349 	CAM COSTANERO - CAMTO SALADO 	Not Posted, Both Sides Even Month 4th Thu
CAM CORALINO 	2900 - 3039 	JUTLAND DR - CAMTO HIERRO 	Not Posted, Both Sides Odd Month 3rd Tue
CAM COSTANERO 	6300 - 6399 	CAM COPETE - VIA LAS CUMBRES 	Not Posted, Both Sides Even Month 4th Thu
CAM DEL RIO WEST 	3520 - 3699 	I-5 SB ON RA - I-5 SB OFF RA 	Not Posted, Both Sides Fri
CAM DEL RIO WEST 	3700 - 3799 	I-5 SB OFF RA - HANCOCK ST 	Not Posted, Both Sides Fri
CAM DEL RIO WEST 	3800 - 3849 	HANCOCK ST - GAINES ST 	Not Posted, Both Sides Fri
CAM DEL RIO WEST 	3850 - 3899 	GAINES ST - ROSECRANS ST 	Not Posted, Both Sides Fri
CAMULOS ST 	2500 - 2599 	VALETA ST - MONTALVO ST 	Not Posted, Both Sides Odd Month 1st Wed
CAMULOS ST 	2600 - 2699 	MONTALVO ST - MENTONE ST 	Not Posted, Both Sides Odd Month 1st Wed
CAMULOS ST 	2700 - 2799 	MENTONE ST - TEMECULA ST 	Not Posted, Both Sides Odd Month 1st Wed
CAMULOS ST 	2800 - 2899 	TEMECULA ST - FAMOSA BL 	Not Posted, Both Sides Odd Month 1st Wed
CAMULOS ST 	3200 - 3219 	LOMA RIVIERA DR - VENUS ST 	Not Posted, Both Sides Mon
CAMULOS ST 	3220 - 3239 	VENUS ST - END 	Not Posted, Both Sides Mon
CANON ST 	2800 - 2899 	SHAFTER ST - SCOTT ST 	Not Posted, Both Sides Thu
CANON ST 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Thu
CANON ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Tue
CANON ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Tue
CANON ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Tue
CANON ST 	3300 - 3499 	WILLOW ST - AKRON ST 	Not Posted, Both Sides Tue
CANON ST 	3500 - 3750 	AKRON ST - DEL MAR AV 	Not Posted, Both Sides Tue
CANON ST 	3751 - 3799 	DEL MAR AV - POINT LOMA AV 	Not Posted, Both Sides Tue
CANON ST 	3800 - 3929 	POINT LOMA AV - ULLMAN ST 	Not Posted, Both Sides Tue
CANON ST 	3930 - 3999 	ULLMAN ST - TALBOT ST 	Not Posted, Both Sides Tue
CANON ST 	4000 - 4089 	TALBOT ST - SOUTHERNWOOD WY 	Not Posted, Both Sides Tue
CANON ST 	4090 - 4099 	SOUTHERNWOOD WY - CATALINA BL 	Not Posted, Both Sides Tue
CAPE MAY AV 	4380 - 4399 	VENICE ST - SANTA BARBARA ST 	Not Posted, Both Sides Even Month 4th Wed
CAPE MAY AV 	4400 - 4499 	SANTA BARBARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
CAPE MAY AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
CAPE MAY AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
CAPE MAY AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
CAPE MAY AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CAPE MAY AV 	4900 - 4999 	CABLE ST - BACON ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CAPE MAY AV 	5000 - 5099 	BACON ST - ABBOTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
CAPE MAY AV 	5100 - 5159 	ABBOTT ST - END 	Posted (7am - 10am), NS Fri, SS Wed
CAPISTRANO ST 	1800 - 1899 	MACAULAY ST - OLIPHANT ST 	Not Posted, Both Sides Even Month 4th Wed
CAPISTRANO ST 	1900 - 1949 	OLIPHANT ST - WAWONA DR 	Not Posted, Both Sides Even Month 4th Wed
CAPISTRANO ST 	1950 - 1969 	WAWONA DR - NIMITZ BL 	Not Posted, Both Sides Even Month 4th Wed
CAPISTRANO ST 	1970 - 1999 	NIMITZ BL - POE ST 	Not Posted, Both Sides Even Month 4th Wed
CAPISTRANO ST 	2000 - 2049 	POE ST - QUIMBY ST 	Not Posted, Both Sides Even Month 4th Wed
CAPISTRANO ST 	2050 - 2099 	QUIMBY ST - TENNYSON ST 	Not Posted, Both Sides Even Month 4th Wed
CAPISTRANO ST 	2100 - 2199 	TENNYSON ST - VOLTAIRE ST 	Not Posted, Both Sides Even Month 1st Wed
CARDENO DR 	5200 - 5249 	FANUEL ST - AGATE ST 	Not Posted, Both Sides Odd Month 3rd Wed
CARDENO DR 	5250 - 5299 	AGATE ST - ARCHER ST 	Not Posted, Both Sides Odd Month 3rd Wed
CARDENO DR 	5300 - 5399 	ARCHER ST - KAIMALINO LN 	Not Posted, Both Sides Odd Month 3rd Wed
CARLETON SQ 	0 - 0 	BEGIN - END 	Not Posted, Both Sides Even Month 4th Wed
CARLETON SQ 	0 - 0 	BEGIN - END 	Not Posted, Both Sides Even Month 4th Wed
CARLETON SQ 	1400 - 1424 	CARLETON ST - END 	Not Posted, Both Sides Even Month 4th Wed
CARLETON SQ 	1425 - 1463 	BEGIN - END 	Not Posted, Both Sides Even Month 4th Wed
CARLETON SQ 	1464 - 1499 	BEGIN - CARLETON ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	2800 - 2899 	SHAFTER ST - SCOTT ST 	Not Posted, Both Sides Thu
CARLETON ST 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Thu
CARLETON ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3400 - 3499 	PLUM ST - CLOVE ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3500 - 3549 	CLOVE ST - EMERSON ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3550 - 3599 	EMERSON ST - FENELON ST 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3600 - 3619 	FENELON ST - CARLETON SQ 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3620 - 3649 	CARLETON SQ - CARLETON SQ 	Not Posted, Both Sides Even Month 4th Wed
CARLETON ST 	3650 - 3669 	CARLETON SQ - LIGGETT DR 	Not Posted, Both Sides Even Month 4th Wed
CARMELO ST 	4400 - 4499 	CORNISH DR - CORDOVA ST 	Not Posted, Both Sides Even Month 4th Wed
CARMELO ST 	4500 - 4599 	CORDOVA ST - SUNSET CLIFFS BL 	Not Posted, Both Sides Even Month 4th Wed
CARSON ST 	3800 - 3999 	BEGIN - BOONE ST 	Not Posted, Both Sides Even Month 4th Thu
CARY WY 	1300 - 1353 	BEGIN - CASTLE HILLS DR 	Not Posted, Both Sides Odd Month 3rd Wed
CASITAS ST 	4350 - 4399 	AMIFORD DR - CORNISH DR 	Not Posted, Both Sides Even Month 4th Wed
CASITAS ST 	4400 - 4499 	CORNISH DR - CORDOVA ST 	Not Posted, Both Sides Even Month 4th Wed
CASS ST 	4100 - 4199 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
CASS ST 	4200 - 4249 	OLIVER AV - REED AV 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
